id,name,min_players,max_players,avg_rating,ranking,weight,categories,mechanics,thumbnail
244521,Quacks,2,4,7.81093,70,1.9433,Medieval,"Catch the Leader, Deck, Bag, and Pool Building, Delayed Purchase, Dice Rolling, Events, Open Drafting, Push Your Luck, Simultaneous Action Selection, Variable Set-up",https://cf.geekdo-images.com/B1bLRWzTASZ-xx9NoAE79A__thumb/img/deG3pr-ORZ3JrGvQA-oQNrwh0l0=/fit-in/200x150/filters:strip_icc()/pic8780293.png
441706,Quacks: All-In Edition,2,5,7.33333,Not Ranked,0,N/A,"Catch the Leader, Deck, Bag, and Pool Building, Delayed Purchase, Dice Rolling, Events, Open Drafting, Push Your Luck, Simultaneous Action Selection, Variable Set-up",https://cf.geekdo-images.com/3zMXvAfZbnWR2UIjbNMIYA__thumb/img/YpTgFEY6Wl71VLazjE_3aElfCPM=/fit-in/200x150/filters:strip_icc()/pic8780291.png
424785,Crafting the Cosmos,2,4,6.51667,17240,2,Card Game,N/A,https://cf.geekdo-images.com/QWbAaYKvzb9h92uJ5AXV2Q__thumb/img/muZEJEplG4YPQQE_5SadD83FR60=/fit-in/200x150/filters:strip_icc()/pic8447906.jpg
418059,SETI: Search for Extraterrestrial Intelligence,1,4,8.37877,109,3.7635,"Science Fiction, Space Exploration","End Game Bonuses, Income, Multi-Use Cards, Resource to Move, Solo / Solitaire Game, Turn Order: Progressive, Variable Set-up",https://cf.geekdo-images.com/_BUXOVRDU9g_eRwgpR5ZZw__thumb/img/icamIZ4nP3HHH3vczZqTr1hQgKY=/fit-in/200x150/filters:strip_icc()/pic8160466.jpg
434654,Toy Battle,2,2,6.8534,7921,1.4286,Abstract Strategy,"Area Majority / Influence, Area Movement, Multiple Maps, Zone of Control",https://cf.geekdo-images.com/GuhpuTKFteZEIhPTFvEpJw__thumb/img/2Gft8rEmdaQW1YJX5DyPX0uWyoM=/fit-in/200x150/filters:strip_icc()/pic8589750.jpg
441696,Sanctuary,1,5,0,Not Ranked,0,"Animals, Environmental, Territory Building","Action Queue, Hand Management, Hexagon Grid, Open Drafting, Set Collection, Solo / Solitaire Game, Tile Placement, Variable Set-up",https://cf.geekdo-images.com/D4tnUD7cJ2e6cUX9ssceZQ__thumb/img/hH25u2q2iKlHnORpEAl8mDxNJAU=/fit-in/200x150/filters:strip_icc()/pic8783245.jpg
437356,Scales of Fate,2,2,7.67333,Not Ranked,2,"Bluffing, Deduction","Deduction, Hidden Roles",https://cf.geekdo-images.com/Zz_iJ2cr4kS4jgT_pFw27g__thumb/img/fL1w_PMywy22Zkp2x-7vznIqjOM=/fit-in/200x150/filters:strip_icc()/pic8652703.png
372649,Defenders of the Wild,1,4,7.37611,4843,2.9412,"Animals, Fantasy, Political","Action Points, Area Majority / Influence, Cooperative Game, Deck Construction, Hand Management, Modular Board, Solo / Solitaire Game, Variable Player Powers",https://cf.geekdo-images.com/OnNFPEHOFUcCcCwuJANZSA__thumb/img/QEqs6LYFfm0P8_jZUg4ESNhBCk0=/fit-in/200x150/filters:strip_icc()/pic8251132.jpg
349750,Molly House,1,5,7.48243,4824,3.6154,"Bluffing, Deduction","Multi-Use Cards, Push Your Luck, Semi-Cooperative Game, Set Collection",https://cf.geekdo-images.com/7j1DUeGvykC6nNpch-bh3w__thumb/img/s-twh6b40XX9jfmP4hHvNSenPF8=/fit-in/200x150/filters:strip_icc()/pic8419925.jpg
431929,Onward,2,4,7.725,Not Ranked,0,Fighting,"Action Points, Area Majority / Influence, Multi-Use Cards, Multiple Maps",https://cf.geekdo-images.com/As2LEVwwoHE9UEmaCekgAQ__thumb/img/Fior2lF0mslMAa_i3KwgOdim1ps=/fit-in/200x150/filters:strip_icc()/pic8729695.jpg
